id,address
167,"Van Cortlandt House Museum, Van Cortlandt Park, Broadway at West 246th Street, Bronx, NY"
168,"Merchant's House Museum, 29 East 4th Street, Manhattan, NY"
170,"Gymnasium, Rev. T. Wendell Foster Park and Recreation Center, Jerome Av to River Av bet. E 164 St and McClellan St at Cromwell Ave , Bronx, NY"
171,"Seaman Avenue and Isham Street Entrance, Inwood Hill Park, Dyckman St, Hudson River, Harlem River S, Manhattan, NY"
172,"Monsignor McGolrick Park, Msgr. McGolrick Park, Russell St., Monitor St. bet. Nassau Ave. and Driggs Ave., Brooklyn, NY"
173,"Astoria Park, Queens, NY"
174,"Baisley Pond Park House, Rockaway & Sutphin Boulevards, Queens, NY"
175,"Canarsie Park House, 88th Street and Seaview Avenue, Brooklyn, NY"
176,"Entrance to John Golden Park, 215th Place and 33rd Ave, Queens, NY"
177,"Elton Street and Jamaica Avenue, Highland Park, Highland Blvd, Jamaica Ave, Jackie Robinson Pkwy, Queens, NY"
178,"Lawn Near 79th Street Entrance, Shore Park and Parkway, 4 Ave., Shore Rd., Belt Pkwy., Verrazano Bridge, Brooklyn, NY"
179,"Entrance - Lafayette Avenue and Morrison Avenue, Soundview Park, Bronx River, Bronx River Ave. bet. Lafayette Ave., Surf Dr. , Bronx, NY"
180,"St. Mary's Annual 5K Start, East 149th and Eagle Ave, Bronx, NY"
181,"Multi-Use Room, Greenbelt Recreation Center, 501 Brielle Avenue, Staten Island, NY"
183,"Westerleigh Park, Willard Ave., Springfield Ave., Maine Ave., Neal Dow Ave. , Staten Island, NY"
184,"Alley Pond, Little Neck Bay to Springfield Blvd, Union Tpke, Queens, NY"
185,"Soundview Park, Bronx River, Bronx River Ave. bet. Lafayette Ave., Surf Dr. , Bronx, NY"
186,"Ecology Park, Bergen Avenue, between Avenue T & Cove Lane, Brooklyn, NY"
187,"Gymnasium (Court), Al Oerter Recreation Center, 131-40 Fowler Ave., Queens, NY"
188,"Queens Community House Beacon @ PS 149, 93-11 34th Ave, Queens, NY"
189,"East River Esplanade, FDR Dr. bet. E. 36 St. and E. 41 St., Manhattan, NY"
190,"Pier 35, East River Waterfront Esplanade, Rutgers Slip and South St, Manhattan, NY"
191,"Dance Room, Thomas Jefferson Recreation Center, 2180 First Avenue, Manhattan, NY"
192,"Peter Detmold Park, E. 49 St. To E. 51 St., W/s FDR Dr., Manhattan, NY"
193,"Leif Ericson Park, 67 St., 66 St. bet. 4 Ave. and Ft. Hamilton Pkwy., Brooklyn, NY"
