id,address,"Geocodio Latitude","Geocodio Longitude","Geocodio Accuracy Score","Geocodio Accuracy Type","Geocodio Address Line 1","Geocodio Address Line 2","Geocodio Address Line 3","Geocodio House Number","Geocodio Street","Geocodio Unit Type","Geocodio Unit Number","Geocodio City","Geocodio State","Geocodio County","Geocodio Postal Code","Geocodio Country","Geocodio Source"
124,"TALEA Beer Co. - Cobble Hill, Brooklyn, New York, NY",40.750422,-73.996328,1,place,,,"New York, NY 10001",,,,,"New York",NY,"New York County",10001,US,"TIGER/Line® dataset from the US Census Bureau"
125,"Cobblestone's Pub, Forest Hills, New York, NY",40.750422,-73.996328,1,place,,,"New York, NY 10001",,,,,"New York",NY,"New York County",10001,US,"TIGER/Line® dataset from the US Census Bureau"
126,"Buunni Coffee - Inwood, New York, NY",40.750422,-73.996328,1,place,,,"New York, NY 10001",,,,,"New York",NY,"New York County",10001,US,"TIGER/Line® dataset from the US Census Bureau"
128,"Pier 57, New York, NY",40.750422,-73.996328,0.5,place,,,"New York, NY 10001",,,,,"New York",NY,"New York County",10001,US,"TIGER/Line® dataset from the US Census Bureau"
129,"269 4th Ave, Brooklyn, New York, NY",40.735092,-73.990105,1,range_interpolation,"269 4th Ave",,"New York, NY 10003",269,"4th Ave",,,"New York",NY,"New York County",10003,US,"TIGER/Line® from the US Census Bureau"
133,"Luliano’s, Kings County, New York, NY",40.750422,-73.996328,1,place,,,"New York, NY 10001",,,,,"New York",NY,"New York County",10001,US,"TIGER/Line® dataset from the US Census Bureau"
138,"Berry Park, NY",40.762574,-73.323061,1,place,,,"Deer Park, NY 11729",,,,,"Deer Park",NY,"Suffolk County",11729,US,"TIGER/Line® dataset from the US Census Bureau"
139,"Hack Manhattan, New York, NY",40.750422,-73.996328,1,place,,,"New York, NY 10001",,,,,"New York",NY,"New York County",10001,US,"TIGER/Line® dataset from the US Census Bureau"
141,"Secret Restaurant Location in Midtown/Lower Manhattan/Willamsburg, New York, NY",40.717143,-73.984257,0.85,street_center,"Williamsburg Brg",,"New York, NY 10002",,"Williamsburg Brg",,,"New York",NY,"New York County",10002,US,"OpenStreetMap Contributors"
142,"110 E 55th St 12th floor, New York, NY",40.759958,-73.971107,1,rooftop,"110 E 55th St","Fl 12","New York, NY 10022",110,"E 55th St",Fl,12,"New York",NY,"New York County",10022,US,"City of New York"
143,"Modern Dynamic Pilates, New York, NY",40.707319,-74.006107,0.9,street_center,"Platt St",,"New York, NY 10038",,"Platt St",,,"New York",NY,"New York County",10038,US,"TIGER/Line® dataset from the US Census Bureau"
144,"Sanger Hall, Long Island City, New York, NY",40.750422,-73.996328,1,place,,,"New York, NY 10001",,,,,"New York",NY,"New York County",10001,US,"TIGER/Line® dataset from the US Census Bureau"
148,"Madison Square Garden, New York, NY",40.711839,-73.999096,1,street_center,"Madison St",,"New York, NY 10038",,"Madison St",,,"New York",NY,"New York County",10038,US,"TIGER/Line® dataset from the US Census Bureau"
149,"Bowery Road, New York, NY",40.720053,-73.99415,1,street_center,Bowery,,"New York, NY 10012",,Bowery,,,"New York",NY,"New York County",10012,US,"TIGER/Line® dataset from the US Census Bureau"
150,"The Tippler, New York, NY",40.750422,-73.996328,1,place,,,"New York, NY 10001",,,,,"New York",NY,"New York County",10001,US,"TIGER/Line® dataset from the US Census Bureau"
151,"The Wilson @ The INNSiDE Hotel, New York, NY",40.692144,-73.910676,0.8,street_center,"Wilson Ave",,"Brooklyn, NY 11221",,"Wilson Ave",,,Brooklyn,NY,"Kings County",11221,US,"TIGER/Line® dataset from the US Census Bureau"
153,"Hex & Company, New York, NY",40.750422,-73.996328,1,place,,,"New York, NY 10001",,,,,"New York",NY,"New York County",10001,US,"TIGER/Line® dataset from the US Census Bureau"
155,"Starbucks, New York, NY",40.750422,-73.996328,1,place,,,"New York, NY 10001",,,,,"New York",NY,"New York County",10001,US,"TIGER/Line® dataset from the US Census Bureau"
157,"Chelsea, New York City, NY",40.750422,-73.996328,1,place,,,"New York, NY 10001",,,,,"New York",NY,"New York County",10001,US,"TIGER/Line® dataset from the US Census Bureau"
158,"Chelsea Market, New York, NY",40.750422,-73.996328,1,place,,,"New York, NY 10001",,,,,"New York",NY,"New York County",10001,US,"TIGER/Line® dataset from the US Census Bureau"
