id,address,"Geocodio Latitude","Geocodio Longitude","Geocodio Accuracy Score","Geocodio Accuracy Type","Geocodio Address Line 1","Geocodio Address Line 2","Geocodio Address Line 3","Geocodio House Number","Geocodio Street","Geocodio Unit Type","Geocodio Unit Number","Geocodio City","Geocodio State","Geocodio County","Geocodio Postal Code","Geocodio Country","Geocodio Source"
67,"Randall's Island Park, New York, NY",40.750422,-73.996328,1,place,,,"New York, NY 10001",,,,,"New York",NY,"New York County",10001,US,"TIGER/Line® dataset from the US Census Bureau"
68,"Bushwick Inlet Park, New York, NY",40.704311,-73.938569,0.86,street_center,"Bushwick Ct",,"Brooklyn, NY 11206",,"Bushwick Ct",,,Brooklyn,NY,"Kings County",11206,US,"TIGER/Line® dataset from the US Census Bureau"
70,"Bowling Green, New York, NY",40.750422,-73.996328,1,place,,,"New York, NY 10001",,,,,"New York",NY,"New York County",10001,US,"TIGER/Line® dataset from the US Census Bureau"
71,"East River Park, New York, NY",40.761283,-73.948971,1,street_center,"East Rd",,"New York, NY 10044",,"East Rd",,,"New York",NY,"New York County",10044,US,"TIGER/Line® dataset from the US Census Bureau"
72,"Bush Terminal Park, New York, NY",40.675503,-74.008375,0.9,street_center,"Bush St",,"Brooklyn, NY 11231",,"Bush St",,,Brooklyn,NY,"Kings County",11231,US,"TIGER/Line® dataset from the US Census Bureau"
73,"Bella Abzug Park, New York, NY",40.750422,-73.996328,1,place,,,"New York, NY 10001",,,,,"New York",NY,"New York County",10001,US,"TIGER/Line® dataset from the US Census Bureau"
74,"Sunset Park, New York, NY",40.712895,-74.00846,0.93,street_center,"Park Pl",,"New York, NY 10007",,"Park Pl",,,"New York",NY,"New York County",10007,US,"TIGER/Line® dataset from the US Census Bureau"
77,"Linden Park (Gershwin Park - JHS 166), New York, NY",40.727953,-73.696221,0.54,street_center,"Linden Ave",,"Floral Park, NY 11001",,"Linden Ave",,,"Floral Park",NY,"Nassau County",11001,US,"TIGER/Line® dataset from the US Census Bureau"
78,"Astoria Park, New York, NY",40.729964,-73.992134,0.93,street_center,"Astor Pl",,"New York, NY 10003",,"Astor Pl",,,"New York",NY,"New York County",10003,US,"TIGER/Line® dataset from the US Census Bureau"
79,"EAST  141 STREET between BRUCKNER BOULEVARD and WALNUT AVENUE, New York, NY",40.598148,-73.929713,0.39,street_center,"Stuart St",,"Brooklyn, NY 11229",,"Stuart St",,,Brooklyn,NY,"Kings County",11229,US,"TIGER/Line® dataset from the US Census Bureau"
