id,address
276,"James J Walker Park, New York, NY"
277,"West Playground, New York, NY"
278,"Pontiac Playground, New York, NY"
279,"Soundview Park, New York, NY"
280,"33rd Street Plaza, New York, NY"
281,"Tompkins Square Park, New York, NY"
282,"Coffey Park, New York, NY"
283,"Chelsea Park, New York, NY"
284,"Marine Park, New York, NY"
285,"Randall's Island Park, New York, NY"
286,"Calvert Vaux Park, New York, NY"
288,"Alley Pond Park, New York, NY"
289,"Ferry Point Park, New York, NY"
290,"Chelsea Park, New York, NY"
291,"Bushwick Inlet Park, New York, NY"
292,"Stuyvesant Square, New York, NY"
294,"James J Walker Park, New York, NY"
295,"Space Time Playground, New York, NY"
296,"Madison Square Park, New York, NY"
297,"Union Square Park, New York, NY"
298,"MANHATTAN AVENUE between CLAY STREET and DUPONT STREET, New York, NY"
299,"DECATUR STREET between LEWIS AVENUE and MARCUS GARVEY BOULEVARD, New York, NY"
300,"WEST BROADWAY between PRINCE STREET and SPRING STREET, New York, NY"
301,"Red Hook Recreation Area, New York, NY"
302,"Soundview Park, New York, NY"
303,"James J Walker Park, New York, NY"
304,"BROADWAY between WEST  113 STREET and WEST  116 STREET, New York, NY"
305,"James J Walker Park, New York, NY"
306,"Madison Square Park, New York, NY"
307,"Central Park, New York, NY"
308,"De Witt Clinton Park, New York, NY"
309,"Red Hook Recreation Area, New York, NY"
310,"Corporal John A. Seravalli Playground, New York, NY"
312,"Bushwick Playground, New York, NY"
313,"Marine Park, New York, NY"
314,"Red Hook Recreation Area, New York, NY"
315,"Madison Square Park, New York, NY"
316,"Chelsea Park, New York, NY"
318,"Central Park, New York, NY"
320,"Madison Square Park, New York, NY"
321,"Astoria Park, New York, NY"
322,"Central Park, New York, NY"
323,"Canarsie Park, New York, NY"
324,"McCarren Park, New York, NY"
325,"Baisley Pond Park, New York, NY"
326,"Morningside Park, New York, NY"
327,"Space Time Playground, New York, NY"
328,"79 STREET between NORTHERN BOULEVARD and 34 AVENUE, New York, NY"
329,"Astoria Park, New York, NY"
331,"Carl Schurz Park, New York, NY"
332,"East River Park, New York, NY"
333,"Frederick Douglass Playground, New York, NY"
335,"East River Park, New York, NY"
336,"Randall's Island Park, New York, NY"
337,"Central Park, New York, NY"
338,"Gen. Douglas MacArthur Park, New York, NY"
339,"Madison Square Park, New York, NY"
340,"Central Park, New York, NY"
342,"Ambrosini Field, New York, NY"
343,"Central Park, New York, NY"
345,"East River Park, New York, NY"
346,"Central Park, New York, NY"
347,"Randall's Island Park, New York, NY"
348,"Marcus Garvey Park, New York, NY"
349,"Randall's Island Park, New York, NY"
350,"Central Park, New York, NY"
351,"St. Michael's Playground, New York, NY"
352,"Central Park, New York, NY"
354,"Bloomingdale Park, New York, NY"
356,"Union Square Park, New York, NY"
357,"Ambrosini Field, New York, NY"
